user,url,type,status
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/register/,GET,Success
user1,http://127.0.0.1:8000/register/,POST,Success
user1,http://127.0.0.1:8000/register/,AJAX,Success
user1,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/settings/,GET,Error
user3,http://127.0.0.1:8000/settings/,POST,Error
user3,http://127.0.0.1:8000/settings/,AJAX,Error
user3,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/settings/,GET,Error
user3,http://127.0.0.1:8000/settings/,POST,Error
user3,http://127.0.0.1:8000/settings/,AJAX,Error
user3,http://127.0.0.1:8000/settings/,Multi-form,Error
user3,http://127.0.0.1:8000/settings/,GET,Error
user3,http://127.0.0.1:8000/settings/,POST,Error
user3,http://127.0.0.1:8000/settings/,AJAX,Error
user3,http://127.0.0.1:8000/settings/,Multi-form,Error
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/profile/,GET,Error
user3,http://127.0.0.1:8000/profile/,POST,Error
user3,http://127.0.0.1:8000/profile/,AJAX,Error
user3,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/profile/,GET,Error
user2,http://127.0.0.1:8000/profile/,POST,Error
user2,http://127.0.0.1:8000/profile/,AJAX,Error
user2,http://127.0.0.1:8000/profile/,Multi-form,Error
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/login/,GET,Success
user1,http://127.0.0.1:8000/login/,POST,Success
user1,http://127.0.0.1:8000/login/,AJAX,Success
user1,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/login/,GET,Success
user2,http://127.0.0.1:8000/login/,POST,Success
user2,http://127.0.0.1:8000/login/,AJAX,Success
user2,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/profile/,GET,Error
user1,http://127.0.0.1:8000/profile/,POST,Error
user1,http://127.0.0.1:8000/profile/,AJAX,Error
user1,http://127.0.0.1:8000/profile/,Multi-form,Error
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/login/,GET,Success
user3,http://127.0.0.1:8000/login/,POST,Success
user3,http://127.0.0.1:8000/login/,AJAX,Success
user3,http://127.0.0.1:8000/login/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/register/,GET,Success
user2,http://127.0.0.1:8000/register/,POST,Success
user2,http://127.0.0.1:8000/register/,AJAX,Success
user2,http://127.0.0.1:8000/register/,Multi-form,Success
user1,http://127.0.0.1:8000/settings/,GET,Error
user1,http://127.0.0.1:8000/settings/,POST,Error
user1,http://127.0.0.1:8000/settings/,AJAX,Error
user1,http://127.0.0.1:8000/settings/,Multi-form,Error
user3,http://127.0.0.1:8000/register/,GET,Success
user3,http://127.0.0.1:8000/register/,POST,Success
user3,http://127.0.0.1:8000/register/,AJAX,Success
user3,http://127.0.0.1:8000/register/,Multi-form,Success
user2,http://127.0.0.1:8000/settings/,GET,Error
user2,http://127.0.0.1:8000/settings/,POST,Error
user2,http://127.0.0.1:8000/settings/,AJAX,Error
user2,http://127.0.0.1:8000/settings/,Multi-form,Error
user3,http://127.0.0.1:8000/settings/,GET,Error
user3,http://127.0.0.1:8000/settings/,POST,Error
user3,http://127.0.0.1:8000/settings/,AJAX,Error
user3,http://127.0.0.1:8000/settings/,Multi-form,Error
